! --------------------------------------------------------------- !
!  ELCOM Temporal Boundary Condition file
!  Generated by ARMS
! !
! File was created from the following resources on 2015-06-24 06:07:10
! HEADER               BC     ARMS Address
! INFLOW               1     FCR Weir Inflow 1 Drain
! WTR_TEMP			   2     FCR Weir Inflow Temp 1 Drain
! SALINITY			   3     FCR Weir Inflow Salinity 1 Drain
! --------------------------------------------------------------- !
3 data sets
0 seconds between data
0         1        1            1
TIME	INFLOW	WTR_TEMP	SALINITY
2022039.3333	0.0098	0.85775	0
2022039.3750	0.0097	0.84575	0
2022039.4167	0.0095	0.749875	0
2022039.4583	0.0096	0.79025	0
2022039.5000	0.0095	0.719875	0
2022039.5417	0.0096	0.83975	0
2022039.5833	0.0093	0.968	0
2022039.6250	0.0092	1.285875	0
2022039.6667	0.0091	2.15275	0
2022039.7083	0.0087	2.707625	0
2022039.7500	0.0089	3.456	0
2022039.7917	0.0089	3.995125	0
2022039.8333	0.0089	4.206375	0
2022039.8750	0.0089	3.9775	0
2022039.9167	0.0089	3.494625	0
2022039.9583	0.0089	2.90125	0
2022040.0000	0.0089	2.442875	0
2022040.0417	0.0087	2.162375	0
2022040.0833	0.0087	1.91075	0
2022040.1250	0.0086	1.694875	0
2022040.1667	0.0086	1.45675	0
2022040.2083	0.0084	1.376	0
2022040.2500	0.0085	1.473375	0
2022040.2917	0.0084	1.506125	0
2022040.3333	0.0083	1.38525	0
2022040.3750	0.0084	1.177375	0
2022040.4167	0.0084	0.961125	0
2022040.4583	0.0084	0.8985	0
2022040.5000	0.0083	0.84025	0
2022040.5417	0.0083	0.83175	0
2022040.5833	0.008	1.047375	0
2022040.6250	0.0077	1.720125	0
2022040.6667	0.0078	3.096875	0
2022040.7083	0.008	3.96125	0
2022040.7500	0.0081	4.880125	0
2022040.7917	0.008	5.395625	0
2022040.8333	0.008	5.5755	0
2022040.8750	0.008	5.361625	0
2022040.9167	0.008	4.808	0
2022040.9583	0.008	4.201125	0
2022041.0000	0.008	3.93175	0
2022041.0417	0.0079	3.49925	0
2022041.0833	0.0079	3.165625	0
2022041.1250	0.008	2.93125	0
2022041.1667	0.0077	2.9205	0
2022041.2083	0.0076	2.791375	0
2022041.2500	0.0078	2.63825	0
2022041.2917	0.0078	2.665	0
2022041.3333	0.0078	2.539875	0
2022041.3750	0.0077	2.325375	0
2022041.4167	0.0077	2.2205	0
2022041.4583	0.0078	2.295125	0
2022041.5000	0.0077	2.29025	0
2022041.5417	0.0076	2.175875	0
2022041.5833	0.0073	2.385	0
2022041.6250	0.0073	3.11425	0
2022041.6667	0.0072	4.299625	0
2022041.7083	0.0073	5.005375	0
2022041.7500	0.0077	6.10175	0
2022041.7917	0.0075	6.56575	0
2022041.8333	0.0075	6.526875	0
2022041.8750	0.0072	6.254125	0
2022041.9167	0.007	5.692375	0
2022041.9583	0.0071	5.047625	0
2022042.0000	0.0071	4.70375	0
2022042.0417	0.0071	4.393875	0
2022042.0833	0.0071	4.1935	0
2022042.1250	0.0071	4.033	0
2022042.1667	0.0072	3.640875	0
2022042.2083	0.0073	3.3455	0
2022042.2500	0.007	3.07725	0
2022042.2917	0.0071	2.869	0
2022042.3333	0.0072	2.68475	0
2022042.3750	0.007	2.4975	0
2022042.4167	0.007	2.320875	0
2022042.4583	0.007	2.206	0
2022042.5000	0.0069	2.130125	0
2022042.5417	0.0068	2.195	0
2022042.5833	0.0066	2.5905	0
2022042.6250	0.0065	3.482375	0
2022042.6667	0.0065	4.964375	0
2022042.7083	0.0067	6.001125	0
2022042.7500	0.007	6.915625	0
2022042.7917	0.0067	7.454875	0
2022042.8333	0.0067	7.625	0
2022042.8750	0.0067	7.398625	0
2022042.9167	0.0067	6.939	0
2022042.9583	0.0067	6.50175	0
2022043.0000	0.0067	6.18325	0
2022043.0417	0.0067	5.754125	0
2022043.0833	0.0065	5.367875	0
2022043.1250	0.0066	5.0655	0
2022043.1667	0.0067	4.866	0
2022043.2083	0.0066	4.709875	0
2022043.2500	0.0066	4.520625	0
2022043.2917	0.0066	4.360375	0
2022043.3333	0.0066	4.215125	0
2022043.3750	0.0065	4.10825	0
2022043.4167	0.0066	4.118375	0
2022043.4583	0.0067	4.400375	0
2022043.5000	0.0067	4.512625	0
2022043.5417	0.0065	4.902125	0
2022043.5833	0.0064	5.1935	0
2022043.6250	0.0066	5.80825	0
2022043.6667	0.0067	6.35725	0
2022043.7083	0.0066	6.885625	0
2022043.7500	0.0067	7.3285	0
2022043.7917	0.0066	7.711125	0
2022043.8333	0.0066	7.7225	0
2022043.8750	0.0066	7.47475	0
2022043.9167	0.0065	7.170125	0
2022043.9583	0.0065	6.78275	0
2022044.0000	0.0066	6.57325	0
2022044.0417	0.0068	6.48825	0
2022044.0833	0.0068	6.270625	0
2022044.1250	0.0065	6.00875	0
2022044.1667	0.0066	5.7905	0
2022044.2083	0.0064	5.60625	0
2022044.2500	0.0063	5.437	0
2022044.2917	0.0062	5.2535	0
2022044.3333	0.0064	5.008	0
2022044.3750	0.0065	4.731875	0
2022044.4167	0.0064	4.454875	0
2022044.4583	0.0067	4.1325	0
2022044.5000	0.0068	3.5425	0
2022044.5417	0.0067	3.225	0
2022044.5833	0.0069	3.299375	0
2022044.6250	0.0071	3.161375	0
2022044.6667	0.0071	2.76275	0
2022044.7083	0.0071	3.096	0
2022044.7500	0.007	3.601375	0
2022044.7917	0.0071	3.928125	0
2022044.8333	0.0068	4.202125	0
2022044.8750	0.0067	4.0415	0
2022044.9167	0.0068	3.529375	0
2022044.9583	0.0069	2.905375	0
2022045.0000	0.0067	2.271625	0
2022045.0417	0.0065	2.007375	0
2022045.0833	0.0064	1.5525	0
2022045.1250	0.0063	1.162625	0
2022045.1667	0.0062	0.943625	0
2022045.2083	0.0062	0.87725	0
2022045.2500	0.0062	0.874	0
2022045.2917	0.0061	0.932375	0
2022045.3333	0.0063	0.8275	0
2022045.3750	0.0062	0.588375	0
2022045.4167	0.0061	0.41675	0
2022045.4583	0.006	0.201875	0
2022045.5000	0.006	0.162125	0
2022045.5417	0.006	0.241375	0
2022045.5833	0.006	0.325625	0
2022045.6250	0.0057	0.931125	0
2022045.6667	0.0058	1.556125	0
2022045.7083	0.0058	2.1045	0
2022045.7500	0.0059	2.8135	0
2022045.7917	0.006	2.578625	0
2022045.8333	0.006	2.54375	0
2022045.8750	0.0061	2.17175	0
2022045.9167	0.006	1.681875	0
2022045.9583	0.006	1.253	0
2022046.0000	0.0059	0.847375	0
2022046.0417	0.0059	0.653375	0
2022046.0833	0.006	0.523375	0
2022046.1250	0.0062	0.298	0
2022046.1667	0.0062	0.134375	0
2022046.2083	0.0062	0.038875	0
2022046.2500	0.0063	-0.028625	0
2022046.2917	0.0062	-0.11575	0
2022046.3333	0.0062	-0.185625	0
2022046.3750	0.0061	-0.23125	0
2022046.4167	0.006	-0.286375	0
2022046.4583	0.0064	-0.29775	0
2022046.5000	0.011	-0.09175	0
